Município,codigo_ibge,Índice de Isolamento (%),Dia da Semana,Data
São Joaquim Da Barra,3549409,60,quinta-feira ,2021-02-04
São Roque,3550605,39,quinta-feira ,2021-02-04
Ribeirão Pires,3543303,40,quinta-feira ,2021-02-04
Batatais,3505906,52,quinta-feira ,2021-02-04
Várzea Paulista,3556503,36,quinta-feira ,2021-02-04
Bebedouro,3506102,51,quinta-feira ,2021-02-04
Bragança Paulista,3507605,35,quinta-feira ,2021-02-04
Peruíbe,3537602,45,quinta-feira ,2021-02-04
Ribeirão Preto,3543402,40,quinta-feira ,2021-02-04
Porto Ferreira,3540705,50,quinta-feira ,2021-02-04
Valinhos,3556206,37,quinta-feira ,2021-02-04
São Carlos,3548906,40,quinta-feira ,2021-02-04
Mogi Guaçu,3530706,39,quinta-feira ,2021-02-04
São Bernardo Do Campo,3548708,41,quinta-feira ,2021-02-04
Cajamar,3509205,36,quinta-feira ,2021-02-04
Estado De São Paulo,35,40,quinta-feira ,2021-02-04
Santos,3548500,36,quinta-feira ,2021-02-04
Suzano,3552502,38,quinta-feira ,2021-02-04
Itapira,3522604,39,quinta-feira ,2021-02-04
Jacareí,3524402,39,quinta-feira ,2021-02-04
Vargem Grande Paulista,3556453,43,quinta-feira ,2021-02-04
Diadema,3513801,37,quinta-feira ,2021-02-04
Votuporanga,3557105,39,quinta-feira ,2021-02-04
Ibiúna,3519709,45,quinta-feira ,2021-02-04
Francisco Morato,3516309,42,quinta-feira ,2021-02-04
Monte Mor,3531803,46,quinta-feira ,2021-02-04
Rio Claro,3543907,37,quinta-feira ,2021-02-04
Americana,3501608,36,quinta-feira ,2021-02-04
Ourinhos,3534708,38,quinta-feira ,2021-02-04
Tatuí,3554003,38,quinta-feira ,2021-02-04
Santa Bárbara D'Oeste,3545803,35,quinta-feira ,2021-02-04
São Paulo,3550308,38,quinta-feira ,2021-02-04
Araraquara,3503208,36,quinta-feira ,2021-02-04
Hortolândia,3519071,35,quinta-feira ,2021-02-04
Tupã,3555000,41,quinta-feira ,2021-02-04
Itatiba,3523404,34,quinta-feira ,2021-02-04
Jaú,3525300,40,quinta-feira ,2021-02-04
Embu-Guaçu,3515103,44,quinta-feira ,2021-02-04
Campo Limpo Paulista,3509601,43,quinta-feira ,2021-02-04
Amparo,3501905,39,quinta-feira ,2021-02-04
