Município,1ª Dose,2ª Dose,3ª Dose,Dose Única,Doses Distribuídas
Santana Da Ponte Pensa,1340,1340,328,32,2670
Santana De Parnaíba,120694,108292,9648,3748,279160
Santo Anastácio,15485,13298,2009,507,30772
Santo André,584071,507549,70326,17630,1231187
Santo Antônio Da Alegria,6040,5723,1024,155,11742
Santo Antônio De Posse,19209,15674,1512,648,38303
Santo Antônio Do Aracanguá,6431,6029,783,238,14056
Santo Antônio Do Jardim,5118,4756,781,192,10193
Santo Antônio Do Pinhal,6112,5403,592,148,12913
Santo Expedito,2558,2427,400,60,5294
Santos,376429,324181,72232,7979,777776
Santópolis Do Aguapeí,3235,3181,458,162,7461
Sarapuí,8420,7233,623,261,15678
Sarutaiá,3114,2802,386,66,6271
Sebastianópolis Do Sul,2888,2805,512,82,5716
Serra Azul,12088,10161,874,156,23581
Serra Negra,24214,21776,3037,637,49933
Serrana,39927,36332,5130,0,29756
Sertãozinho,101911,92518,9589,3543,203965
Sete Barras,10476,8841,862,258,21971
Severínia,12395,11163,1268,509,26663
Silveiras,5263,5133,775,162,10282
Socorro,34274,31408,3917,983,77040
Sorocaba,573490,476701,46972,17844,1136219
Sud Mennucci,6215,5785,919,196,12161
Sumaré,225930,182430,13352,8468,464129
Suzano,234830,189580,17314,7553,480795
Suzanápolis,2940,2837,394,65,6520
São Bento Do Sapucaí,9938,9493,1095,239,21351
São Bernardo Do Campo,655270,589381,73668,21030,1343583
São Caetano Do Sul,133436,121139,23114,4607,295562
São Carlos,211751,192796,24892,6782,426961
São Francisco,2390,2358,588,43,4626
São Joaquim Da Barra,39639,37330,4010,1436,92527
São José Da Bela Vista,6236,5833,728,228,13410
São José Do Barreiro,3417,3252,492,88,6870
São José Do Rio Pardo,45135,39810,6236,1255,91995
São José Do Rio Preto,396742,354758,50955,11874,766904
São José Dos Campos,584701,510541,60115,16325,1170617
São João Da Boa Vista,77872,68817,10758,2117,155631
São João Das Duas Pontes,2136,2032,301,60,4323
São João De Iracema,1562,1478,278,35,3294
São João Do Pau D'Alho,1913,1809,320,30,3877
São Lourenço Da Serra,12337,10434,940,372,25234
São Luiz Do Paraitinga,9342,9064,1088,240,19551
São Manuel,29805,27013,3175,1036,61006
São Miguel Arcanjo,26730,24799,2572,836,52274
São Paulo,10563515,9090604,1115361,326739,20413102
São Pedro,30244,24604,2815,790,61613
São Pedro Do Turvo,6098,5478,865,160,12576
São Roque,71584,57759,7229,2036,151968
São Sebastião,73035,61057,3993,2351,140038
São Sebastião Da Grama,9022,8520,1210,295,20339
São Simão,11747,10645,1568,355,25867
